"Date","Inbound","Peak","Outbound","Peak"
"2020-10-02 18:05:00","2.2359604300e+10","2.2359604300e+10","2.5764731815e+10","2.5764731815e+10"
"2020-10-02 18:10:00","3.5630692822e+10","3.5630692822e+10","2.5247321526e+10","2.5247321526e+10"
"2020-10-02 18:15:00","4.0114814865e+10","4.0114814865e+10","2.6951092913e+10","2.6951092913e+10"
"2020-10-02 18:20:00","2.9464442727e+10","2.9464442727e+10","2.8413706021e+10","2.8413706021e+10"
"2020-10-02 18:25:00","2.8822306677e+10","2.8822306677e+10","2.7301812857e+10","2.7301812857e+10"
"2020-10-02 18:30:00","2.3220086547e+10","2.3220086547e+10","2.7072680167e+10","2.7072680167e+10"
"2020-10-02 18:35:00","1.9496929166e+10","1.9496929166e+10","2.7686707417e+10","2.7686707417e+10"
"2020-10-02 18:40:00","2.4919278984e+10","2.4919278984e+10","3.1450177487e+10","3.1450177487e+10"
"2020-10-02 18:45:00","4.6754935115e+10","4.6754935115e+10","3.2936084659e+10","3.2936084659e+10"
"2020-10-02 18:50:00","5.0445317145e+10","5.0445317145e+10","4.2878343533e+10","4.2878343533e+10"
"2020-10-02 18:55:00","3.7330382805e+10","3.7330382805e+10","3.7321650491e+10","3.7321650491e+10"
"2020-10-02 19:00:00","3.0074646760e+10","3.0074646760e+10","2.6457081259e+10","2.6457081259e+10"
"2020-10-02 19:05:00","2.8146097345e+10","2.8146097345e+10","2.5264135999e+10","2.5264135999e+10"
"2020-10-02 19:10:00","3.7233212140e+10","3.7233212140e+10","2.3394483623e+10","2.3394483623e+10"
"2020-10-02 19:15:00","3.4771334503e+10","3.4771334503e+10","2.3744257414e+10","2.3744257414e+10"
"2020-10-02 19:20:00","3.4629629575e+10","3.4629629575e+10","2.2695819260e+10","2.2695819260e+10"
"2020-10-02 19:25:00","3.8495722488e+10","3.8495722488e+10","2.4601048185e+10","2.4601048185e+10"
"2020-10-02 19:30:00","2.7428990895e+10","2.7428990895e+10","2.5881787187e+10","2.5881787187e+10"
"2020-10-02 19:35:00","2.7793615121e+10","2.7793615121e+10","2.9241197878e+10","2.9241197878e+10"
"2020-10-02 19:40:00","3.1209968072e+10","3.1209968072e+10","3.9830530237e+10","3.9830530237e+10"
"2020-10-02 19:45:00","4.8411026292e+10","4.8411026292e+10","3.8426023466e+10","3.8426023466e+10"
"2020-10-02 19:50:00","3.3070426394e+10","3.3070426394e+10","2.6053434329e+10","2.6053434329e+10"
"2020-10-02 19:55:00","3.1774679083e+10","3.1774679083e+10","2.6406070193e+10","2.6406070193e+10"
"2020-10-02 20:00:00","2.6360922898e+10","2.6360922898e+10","2.6146812242e+10","2.6146812242e+10"
"2020-10-02 20:05:00","2.6260616043e+10","2.6260616043e+10","2.6074988673e+10","2.6074988673e+10"
"2020-10-02 20:10:00","3.2130693560e+10","3.2130693560e+10","2.7238304036e+10","2.7238304036e+10"
"2020-10-02 20:15:00","4.2325386068e+10","4.2325386068e+10","2.7564542521e+10","2.7564542521e+10"
"2020-10-02 20:20:00","3.3573801462e+10","3.3573801462e+10","2.5469202158e+10","2.5469202158e+10"
"2020-10-02 20:25:00","3.1143384792e+10","3.1143384792e+10","2.4456237877e+10","2.4456237877e+10"
"2020-10-02 20:30:00","3.4650454711e+10","3.4650454711e+10","2.3508380422e+10","2.3508380422e+10"
"2020-10-02 20:35:00","3.6670854811e+10","3.6670854811e+10","2.4283494019e+10","2.4283494019e+10"
"2020-10-02 20:40:00","2.9628586183e+10","2.9628586183e+10","2.2526257552e+10","2.2526257552e+10"
"2020-10-02 20:45:00","3.4520754487e+10","3.4520754487e+10","2.1551696787e+10","2.1551696787e+10"
"2020-10-02 20:50:00","3.0144260331e+10","3.0144260331e+10","2.3177375688e+10","2.3177375688e+10"
"2020-10-02 20:55:00","2.5689103332e+10","2.5689103332e+10","2.4363703005e+10","2.4363703005e+10"
"2020-10-02 21:00:00","2.9491093326e+10","2.9491093326e+10","2.3129135815e+10","2.3129135815e+10"
"2020-10-02 21:05:00","3.2018319518e+10","3.2018319518e+10","2.4603264761e+10","2.4603264761e+10"
"2020-10-02 21:10:00","3.6101938362e+10","3.6101938362e+10","2.4634668692e+10","2.4634668692e+10"
"2020-10-02 21:15:00","4.6100218823e+10","4.6100218823e+10","2.4805724758e+10","2.4805724758e+10"
"2020-10-02 21:20:00","5.2247658301e+10","5.2247658301e+10","2.5035773622e+10","2.5035773622e+10"
"2020-10-02 21:25:00","3.8832958158e+10","3.8832958158e+10","2.4304204662e+10","2.4304204662e+10"
"2020-10-02 21:30:00","3.5258274022e+10","3.5258274022e+10","2.3104848021e+10","2.3104848021e+10"
"2020-10-02 21:35:00","3.6060357625e+10","3.6060357625e+10","2.0412543969e+10","2.0412543969e+10"
"2020-10-02 21:40:00","3.9878979585e+10","3.9878979585e+10","2.0665885552e+10","2.0665885552e+10"
"2020-10-02 21:45:00","4.8217519186e+10","4.8217519186e+10","2.4260494013e+10","2.4260494013e+10"
"2020-10-02 21:50:00","4.5880302454e+10","4.5880302454e+10","2.2706276098e+10","2.2706276098e+10"
"2020-10-02 21:55:00","4.6671075361e+10","4.6671075361e+10","2.0779494143e+10","2.0779494143e+10"
"2020-10-02 22:00:00","3.8295494933e+10","3.8295494933e+10","2.2774998983e+10","2.2774998983e+10"
"2020-10-02 22:05:00","3.7612565551e+10","3.7612565551e+10","2.7086194844e+10","2.7086194844e+10"
"2020-10-02 22:10:00","3.5471325953e+10","3.5471325953e+10","2.2448279221e+10","2.2448279221e+10"
"2020-10-02 22:15:00","4.1238182898e+10","4.1238182898e+10","2.6240265496e+10","2.6240265496e+10"
"2020-10-02 22:20:00","4.5676146058e+10","4.5676146058e+10","2.5503681183e+10","2.5503681183e+10"
"2020-10-02 22:25:00","4.3132286531e+10","4.3132286531e+10","2.4598600186e+10","2.4598600186e+10"
"2020-10-02 22:30:00","3.8581394674e+10","3.8581394674e+10","2.3851562929e+10","2.3851562929e+10"
"2020-10-02 22:35:00","4.1241171396e+10","4.1241171396e+10","2.3580335210e+10","2.3580335210e+10"
"2020-10-02 22:40:00","4.6608455435e+10","4.6608455435e+10","2.3667022722e+10","2.3667022722e+10"
"2020-10-02 22:45:00","4.1200954225e+10","4.1200954225e+10","2.2549342806e+10","2.2549342806e+10"
"2020-10-02 22:50:00","4.4323007732e+10","4.4323007732e+10","2.4172051842e+10","2.4172051842e+10"
"2020-10-02 22:55:00","4.2283411992e+10","4.2283411992e+10","2.6087654231e+10","2.6087654231e+10"
"2020-10-02 23:00:00","4.2523118350e+10","4.2523118350e+10","2.4837284459e+10","2.4837284459e+10"
"2020-10-02 23:05:00","4.1422228371e+10","4.1422228371e+10","2.9224216630e+10","2.9224216630e+10"
"2020-10-02 23:10:00","4.0871036491e+10","4.0871036491e+10","3.9803168810e+10","3.9803168810e+10"
"2020-10-02 23:15:00","3.8868413493e+10","3.8868413493e+10","5.1166948703e+10","5.1166948703e+10"
"2020-10-02 23:20:00","4.6113807723e+10","4.6113807723e+10","5.1792084267e+10","5.1792084267e+10"
"2020-10-02 23:25:00","4.3760470675e+10","4.3760470675e+10","5.4163898083e+10","5.4163898083e+10"
"2020-10-02 23:30:00","4.0354174279e+10","4.0354174279e+10","5.3931727856e+10","5.3931727856e+10"
"2020-10-02 23:35:00","4.2263542732e+10","4.2263542732e+10","3.7556084759e+10","3.7556084759e+10"
"2020-10-02 23:40:00","3.9724025705e+10","3.9724025705e+10","3.3328881804e+10","3.3328881804e+10"
"2020-10-02 23:45:00","3.5238222136e+10","3.5238222136e+10","3.2640811987e+10","3.2640811987e+10"
"2020-10-02 23:50:00","3.8080925100e+10","3.8080925100e+10","3.2272129157e+10","3.2272129157e+10"
"2020-10-02 23:55:00","2.9168429557e+10","2.9168429557e+10","3.0181559363e+10","3.0181559363e+10"
"2020-10-03 00:00:00","3.1553692068e+10","3.1553692068e+10","3.3234189443e+10","3.3234189443e+10"
"2020-10-03 00:05:00","3.1002632217e+10","3.1002632217e+10","3.3852642118e+10","3.3852642118e+10"
"2020-10-03 00:10:00","3.2793697514e+10","3.2793697514e+10","3.3707934230e+10","3.3707934230e+10"
"2020-10-03 00:15:00","3.2024935221e+10","3.2024935221e+10","3.0562983706e+10","3.0562983706e+10"
"2020-10-03 00:20:00","2.9842090303e+10","2.9842090303e+10","3.1337378581e+10","3.1337378581e+10"
"2020-10-03 00:25:00","2.8839535818e+10","2.8839535818e+10","3.0952117379e+10","3.0952117379e+10"
"2020-10-03 00:30:00","2.8635945249e+10","2.8635945249e+10","2.8483302598e+10","2.8483302598e+10"
"2020-10-03 00:35:00","2.5773397542e+10","2.5773397542e+10","2.9412680562e+10","2.9412680562e+10"
"2020-10-03 00:40:00","2.6315756375e+10","2.6315756375e+10","3.3025472145e+10","3.3025472145e+10"
"2020-10-03 00:45:00","2.4008821308e+10","2.4008821308e+10","3.3006374987e+10","3.3006374987e+10"
"2020-10-03 00:50:00","2.4312730773e+10","2.4312730773e+10","3.1094967588e+10","3.1094967588e+10"
"2020-10-03 00:55:00","2.6963610218e+10","2.6963610218e+10","2.8889946123e+10","2.8889946123e+10"
"2020-10-03 01:00:00","2.9227789302e+10","2.9227789302e+10","4.3436059196e+10","4.3436059196e+10"
"2020-10-03 01:05:00","2.8774060421e+10","2.8774060421e+10","4.1523329646e+10","4.1523329646e+10"
"2020-10-03 01:10:00","3.2771671267e+10","3.2771671267e+10","3.6609267982e+10","3.6609267982e+10"
"2020-10-03 01:15:00","3.4719424697e+10","3.4719424697e+10","4.2984999403e+10","4.2984999403e+10"
"2020-10-03 01:20:00","3.0373545222e+10","3.0373545222e+10","3.2771403541e+10","3.2771403541e+10"
"2020-10-03 01:25:00","3.3040171341e+10","3.3040171341e+10","3.1947788886e+10","3.1947788886e+10"
"2020-10-03 01:30:00","3.1649139544e+10","3.1649139544e+10","3.0333718749e+10","3.0333718749e+10"
"2020-10-03 01:35:00","3.1608599924e+10","3.1608599924e+10","2.8892483280e+10","2.8892483280e+10"
"2020-10-03 01:40:00","2.9082306707e+10","2.9082306707e+10","2.4982964100e+10","2.4982964100e+10"
"2020-10-03 01:45:00","3.1453443427e+10","3.1453443427e+10","2.7611329754e+10","2.7611329754e+10"
"2020-10-03 01:50:00","3.1754789665e+10","3.1754789665e+10","2.4875180265e+10","2.4875180265e+10"
"2020-10-03 01:55:00","2.5344140965e+10","2.5344140965e+10","1.9260426526e+10","1.9260426526e+10"
"2020-10-03 02:00:00","2.3761284703e+10","2.3761284703e+10","1.6329097916e+10","1.6329097916e+10"
"2020-10-03 02:05:00","2.6116007261e+10","2.6116007261e+10","1.8876438525e+10","1.8876438525e+10"
"2020-10-03 02:10:00","2.8060996630e+10","2.8060996630e+10","2.3812965199e+10","2.3812965199e+10"
"2020-10-03 02:15:00","4.3015608198e+10","4.3015608198e+10","2.3608074854e+10","2.3608074854e+10"
"2020-10-03 02:20:00","3.7851462801e+10","3.7851462801e+10","2.5739387289e+10","2.5739387289e+10"
"2020-10-03 02:25:00","4.7779895565e+10","4.7779895565e+10","3.0064995949e+10","3.0064995949e+10"
"2020-10-03 02:30:00","3.7538952682e+10","3.7538952682e+10","2.9971473596e+10","2.9971473596e+10"
"2020-10-03 02:35:00","2.9670412891e+10","2.9670412891e+10","2.5977111647e+10","2.5977111647e+10"
"2020-10-03 02:40:00","2.9949676544e+10","2.9949676544e+10","3.0225416968e+10","3.0225416968e+10"
"2020-10-03 02:45:00","3.8357820973e+10","3.8357820973e+10","2.7844450097e+10","2.7844450097e+10"
"2020-10-03 02:50:00","3.1129227222e+10","3.1129227222e+10","2.5549288019e+10","2.5549288019e+10"
"2020-10-03 02:55:00","3.3305698094e+10","3.3305698094e+10","2.7768705916e+10","2.7768705916e+10"
"2020-10-03 03:00:00","1.7484497263e+10","1.7484497263e+10","2.8971243604e+10","2.8971243604e+10"
"2020-10-03 03:05:00","1.8984833636e+10","1.8984833636e+10","2.7062425556e+10","2.7062425556e+10"
"2020-10-03 03:10:00","2.6164736621e+10","2.6164736621e+10","3.1528161782e+10","3.1528161782e+10"
"2020-10-03 03:15:00","2.1175370343e+10","2.1175370343e+10","3.5642694539e+10","3.5642694539e+10"
